long,lat,location
103.762093,1.380005,101 Senja Rd
103.83108,1.30619,"International Building 360 Orchard Rd, 238869"
103.858568,1.293064,9 Raffles Boulevard
103.827793,1.306762,1 Tanglin Road #01-01 Orchard Parade Hotel Singapore
103.83646,1.30159,"Javier’s Rotisserie & Salad Bar, #B1-03/04/05 Cathay Cineleisure Orchard, 8 Grange Rd."
103.819871,1.338205,Lornie Rd
103.858568,1.293064,9 Raffles Boulevard
103.854944,1.296601,"36 Purvis Street, #05-05. Singapore 188613"
103.843491,1.317711,Thomson Rd
103.819385,1.25557,Sentosa Island
103.842172,1.277942,"50 Craig Road, #01-01"
103.874036,1.369047,151 Serangoon North Avenue 2
103.848885,1.280826,"138 Cecil St, #01-01, Singapore 069538"
103.8193,1.271278,109 Mount Faber
103.860358,1.291964,"Nantsuttei, #03-02 Millenia Walk, Parco Marina Bay, 9 Raffles Blvd."
103.819299,1.271273,109 Mount Faber
103.706714,1.339578,"1, Jurong West Central 2, #02-24, Jurong Point Shopping Centre, Singapore 648886"
103.76566,1.313798,3155 Commonwealth Ave W
103.800775,1.296864,501 Stirling Rd
103.848885,1.280826,"138 Cecil St, #01-01, Singapore 069538"
103.835853,1.303795,"290 Orchard Road, #15-07/08, Paragon 238859"
103.835521,1.430131,930 Yishun Avenue 2
103.85731,1.2933,1 Raffles Boulevard
103.854296,1.309637,19 Desker Rd
103.74918,1.3500381,1 Bukit Batok Central Link
103.904604,1.303344,50 East Coast Road
103.74918,1.3500381,1 Bukit Batok Central Link
103.830403,1.304503,"501 Orchard Rd #03-15, 238880"
103.843717,1.318513,326 Thomson Rd
103.854,1.2919,"B Connaught Drive,South Eastern Asia,Singapore-All Locations"
103.819871,1.338205,Lornie Rd
103.83976,1.290667,Robertson Quay
103.843717,1.318513,326 Thomson Rd
103.854296,1.309637,19 Desker Rd
103.839973,1.300588,Orchard Central 11th Floor
103.854944,1.296601,"36 Purvis Street, #05-05. Singapore 188613"
103.845837,1.280887,23 Ann Siang Rd
103.935058,1.32846,136 Bedok North Avenue 3
103.843491,1.317711,Thomson Rd
103.83976,1.290667,Robertson Quay
103.848033,1.370627,"712 Ang Mo Kio Avenue 6, 561712"
103.78767,1.298893,1 Fusionopolis Way
103.890366,1.318729,1013 Geylang East Avenue 3
103.740113,1.33318,2 Jurong East Central 1
103.844714,1.291515,177 River Valley Road
103.853797,1.340585,211 Lorong 8 Toa Payoh
103.915391,1.392359,10 Tebing Lane
103.839973,1.300588,Orchard Central 11th Floor
103.807136,1.270592,10 Bukit Thermin Road
103.853474,1.304155,"29, Mayo Street #01-02, Singapore 208315."
103.819832,1.26389,Harbour Front Centre
103.830403,1.304503,"501 Orchard Rd #03-15, 238880"
103.851764,1.305425,Little India Music Centre
103.843717,1.318513,326 Thomson Rd
103.848885,1.280826,"138 Cecil St, #01-01, Singapore 069538"
103.929756,1.305096,1202 East Coast Parkway
103.835853,1.303795,"290 Orchard Road, #15-07/08, Paragon 238859"
103.854296,1.309637,19 Desker Rd
103.830403,1.304503,"501 Orchard Rd #03-15, 238880"
103.844714,1.291515,177 River Valley Road
103.904604,1.303344,50 East Coast Road
103.85731,1.2933,1 Raffles Boulevard
103.854308,1.297588,100 Victoria St
103.984344,1.351994,Airport Blvd
103.85731,1.2933,1 Raffles Boulevard
103.86308,1.308729,70 Jellicoe Roa
103.849886,1.316557,21 Gloucester Rd
103.86033,1.292088,"9 Raffles Boulevard, #02-38 Millenia Walk,Singapore 039596"
103.78767,1.298893,1 Fusionopolis Way
103.844714,1.291515,177 River Valley Road
103.82628,1.306752,163 Tanglin Rd
103.851818,1.300588,Basil Alcove
103.838948,1.37068,107 Ang Mo Kio Street 11
103.852408,1.294903,30 Victoria Street #02-01 Singapore 187996
103.851764,1.305425,Little India Music Centre
103.819299,1.271273,109 Mount Faber
103.840138,1.301594,22 Cuppage Rd
103.840138,1.301594,22 Cuppage Rd
103.904604,1.303344,50 East Coast Road
103.832599,1.307605,"Scotts Square, 6 Scotts Rd Singapore 228209"
103.800775,1.296864,501 Stirling Rd
103.986922,1.357918,"Crowne Plaza #01-02, Changi Airport Terminal Tree"
103.854944,1.296601,"36 Purvis Street, #05-05. Singapore 188613"
103.850917,1.28104,Raffles Quay
103.93248,1.32483,799 New Upper Changi Road
103.869499,1.279924,260 Marina Way
103.845837,1.280887,23 Ann Siang Rd
103.890366,1.318729,1013 Geylang East Avenue 3
103.839973,1.300588,Orchard Central 11th Floor
103.843717,1.318513,326 Thomson Rd
103.915391,1.392359,10 Tebing Lane
103.843717,1.318513,326 Thomson Rd
103.915391,1.392359,10 Tebing Lane
103.854308,1.297588,100 Victoria St
103.83108,1.30619,"International Building 360 Orchard Rd, 238869"
103.851764,1.305425,Little India Music Centre
103.740113,1.33318,2 Jurong East Central 1
103.854944,1.296601,"36 Purvis Street, #05-05. Singapore 188613"
103.931076,1.305565,1206a East Coast Park
103.820331,1.256752,"8 Sentosa Gateway, Sentosa Island"
